Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1919,,,,,,2.9,,,,,,9.7,,,
1920,,,,,,10.9,,,,,,-6.6,,,
1922,,,-3.4,,,-2.3,,,-2.3,,,0,,,
1923,,,2.4,,,1.7,,,2.9,,,1.1,,,
1924,,,-1.1,,,-0.6,,,0,,,1.7,,,
1925,,,,,,2.2,,,,,,2.7,,,
1926,,,,,,-0.5,,,,,,-0.5,,,
1927,,,,,,-1.1,,,,,,-1.1,,,
1928,,,,,,-1.1,,,,,,-1.7,,,
1929,,,,,,0,,,,,,0.6,,,
1930,,,,,,-2.2,,,,,,-4,,,
1931,,,,,,-5.4,,,,,,-3.8,,,
1932,,,,,,-7.2,,,,,,-4.9,,,
1933,,,,,,-2.2,,,,,,4.5,,,
1934,,,,,,2.9,,,,,,,,,
1936,2.1,,,0,,,0,,,,,,,,
1937,,,1.4,,,2.1,,,2,,,-1.3,,,
1938,,,-4,,,-0.7,,,0,,,-1.4,,,
1939,,,-2.1,,,-1.4,,,2.1,,,0.7,,,
1940,,,-1.4,,,0.7,,,0,,,0,,,
1941,,,1.4,2.1,2.8,4.2,4.2,5.6,6.9,7.5,6.8,5.3,,,
1942,7.3,5.9,5.2,5.1,5.7,5.7,5,5,4.3,3.6,3.6,4.2,,,
1943,3,3,3.5,5.3,5.2,3.4,2.3,2.3,1.1,-0.6,-1.1,-0.6,,,
1944,0.6,0.6,0,0,0.6,1.1,1.1,1.7,2.2,1.1,0.6,0.6,,,
1945,1.1,1.1,0.5,1.1,2.2,2.2,2.2,1.6,1.6,1.6,0.5,0.5,,,
1946,0,0,1.1,1.6,2.2,2.7,8.6,11.8,12.8,13.8,15.3,15.6,,,
1947,8.9,5.3,7.1,4.7,2.7,2.7,4.1,5.5,4.4,4.9,5.8,6.1,,,
1948,6.1,4.3,1.3,4.2,4.2,3.3,2.9,5,5.8,2.8,0.8,-0.8,,,
1949,-2,-3.5,-3.1,-2.8,-1.2,-0.8,-0.8,0,0,0,-0.8,-1.2,,,
1950,-1.2,-1.6,-1.6,-1.6,-0.8,0.8,2.5,3.3,3.7,4.1,3.7,5.3,,,
1951,6.5,8,7.2,7.1,7.1,4.3,2.3,0,0.4,0.4,1.5,1.9,,,
1952,1.9,0.7,0.7,0.7,-0.4,0,1.1,2.2,1.8,1.5,1.5,1.1,,,
1953,-0.4,-1.1,-0.7,-1.1,-0.7,0,0.4,1.1,1.1,1.5,0.7,0,,,
1954,0.4,0.4,-0.4,0,0.4,1.1,1.1,0.7,1.1,0.7,0.7,-0.4,,,
1955,-0.7,-0.4,-0.4,-0.4,-0.4,0,0,0,-0.4,-0.4,-0.7,-0.7,,,
1956,-0.7,-0.7,0.4,0.7,1.1,1.8,2.9,2.9,2.5,2.1,1.8,1.4,,,
1957,0.7,1.4,1,1,1.4,1.4,1.7,1.7,1.7,1.7,2.1,1.7,,,
1958,1,0.3,1,1,0.7,0.7,1,1,0.3,0.3,0.3,0.3,,,
1959,0,0,0,0,-0.3,0.3,0.7,0.7,2,2,2.7,2,,,
1960,1,1,0,0.3,0,0,1,1,1,1,1.3,1.3,,,
1961,0.7,1,0.3,0.3,0,-0.3,0.6,0,0.6,0.3,0.6,0.6,,,
1962,0,0.6,0.3,0.6,-0.3,0.3,0.6,0.3,1,0.6,1.3,0.6,,,
1963,0.6,1,0.3,0.3,0.3,1.6,1.3,1,1.3,1.9,1.9,1.3,,,
1964,1.3,1.3,0.6,0,0,0,0.3,0,0.6,0.9,1.2,0.9,,,
1965,0.6,1.2,0.9,0.3,0.3,0.9,1.2,0.6,0.6,1.2,1.2,0.9,,,
1966,0.6,1.5,1.8,1.8,1.5,1.5,1.8,1.8,1.8,1.8,1.8,1.8,,,
1967,1.2,0.9,0.6,0.6,0.9,0.9,1.5,1.8,2,2.3,2,2,,,
1968,2.3,2.3,2.6,2.3,2.6,2.8,2.5,2.2,2.5,2.8,2.8,2.5,,,
1969,2.2,2.5,2.5,2.4,2.2,2.4,3.2,3.5,3.2,2.9,3.2,3.2,,,
1970,2.9,3.1,3.4,3.3,3.8,3.6,3.3,2.8,3.2,3.7,3.5,3.4,,,
1971,3.2,3.2,2.2,1.7,1.9,2.4,1.9,1.4,1.9,2.1,1.2,0.7,,,
1972,0.9,1.2,0.9,0.7,0.9,1.2,1.9,1.8,2.1,2.1,2.5,1.8,,,
1973,1.6,2.5,3.4,3.8,3.8,4.5,4.5,5.1,4.1,4.5,4.7,4.9,,,
1974,5.8,5.7,6.5,6.2,6.4,6.7,6.3,5.8,5.9,6,6.2,5.6,,,
1975,5.1,4.5,3.5,2.6,2.2,2.7,3.4,3.2,3.6,4.3,3.9,3,,,
1976,2.5,2.4,1.6,1.2,1.5,2.1,2.2,2,2.9,2.9,2.7,2,,,
1977,2.3,3.3,3.3,4,4.3,4.8,4.6,3.4,3.5,2.7,2.4,1.7,,,
1978,1.4,1.7,1.5,2,2.3,3.7,4.6,4.5,4.4,4.1,4.1,3.7,,,
1979,3.1,3.8,3.5,4.7,5.5,6.3,6.9,6.8,7.2,6,5.6,4.6,,,
1980,5.1,6.1,6.8,7.9,7.7,8.4,7.5,6.5,5.4,4.4,4.1,3.3,,,
1981,3.7,4,4.4,5.2,5.1,6,5.8,5.6,6.3,5.3,4.6,3.6,,,
1982,2.9,1.9,0.1,0.1,0.3,1.7,2,2.1,3,2.4,2.8,0.7,,,
1983,0.3,0.2,0,0.6,0.5,1.5,2.3,2.8,3,2.8,2.6,2,,,
1984,2.1,2.3,1.8,2.4,2.4,2.8,2.4,2.1,2.4,1.8,2.4,1.7,,,2.2
1985,1.6,2.1,2.1,2.9,2.7,3,3,2.1,2,1.7,1.5,1.7,,2.4,1.9
1986,1.6,1.4,0.8,0.1,0,0.6,0.8,0.9,2.1,2.2,1.6,1.1,,0.8,1.4
1987,1.4,1.9,1.1,2.8,3.7,4.3,3.5,4,4.1,3.1,1.9,1.3,,2.5,3
1988,1.6,0.8,0.8,0.8,1.9,2.5,3.3,3.9,4.7,3.8,3.6,3,,1.4,3.7
1989,2,1.2,0.6,1.7,2.1,2.5,2.9,3,3.3,3,1.7,0.9,,1.8,2.4
1990,1.5,2.4,2.6,2.9,3.5,4,3.9,3.9,3.4,3.4,3.3,3.2,,2.8,3.5
1991,3,2.4,2,1.4,1.6,1.7,1.4,1.9,2,1.6,1.4,1.8,,2,1.7
1992,1.4,0.6,1.1,1.6,1.7,2.1,2,2.6,1.9,1.8,1.2,0,,1.4,1.6
1993,0.1,0.3,0.8,1.1,1.3,2,2.2,1.4,1.2,1.7,1.8,0.5,,0.9,1.5
1994,1.2,1.5,1.6,0.6,0.7,2.2,1.8,1.8,1.8,2.3,2.3,0.5,,1.3,1.8
1995,0.8,1.3,1.2,0.8,0.7,1.9,1.5,1.1,1.5,1.6,1.1,0.4,,1.1,1.3
1996,0.9,1,1.1,1.1,1.4,2,1.6,1.5,1.5,1.7,1.5,1.2,,1.2,1.5
1997,1.4,1.3,1,0.7,1,1.1,0.8,0.6,1.5,1,0.2,0.2,,1.1,0.7
1998,,0.1,,-0.4,,1,,1,,1.9,,0.6,,0.1,1.2
1999,,0,,0.5,,1.8,,2.7,,1.9,,0.5,,0.7,1.8
2000,,1,,0.8,,2.1,,1.5,,1.2,,0.5,,1.2,1.3
2001,,0.8,,1.9,,2.8,,2.1,,0.9,,-1.4,,1.6,0.9
2002,,-0.4,,0.1,,3.6,,3.5,,1.5,,-0.5,,0.7,1.7
2003,,-0.9,,0.8,,2.4,,2.4,,1.7,,-0.4,,0.5,1.4
2004,,0.2,,2.4,,4.8,,4,,2.8,,-0.1,,2,2.6
2005,,0.5,,1.5,,3.5,,3.2,,2.1,,0,,1.6,2.1
2006,,1.2,,2,,4.4,,3.5,,0,,-1.1,,2.1,1.3
2007,,-1.5,,1.7,,2.7,,2.6,,1.7,,0.8,,0.6,1.9
2008,,1,,2.1,,4.3,,3.4,,0.7,,-4.5,,2.2,0.5
2009,,-3.5,,-1.5,,2.6,,2.6,,1.4,,0.4,,-1.5,1.7
2010,,0.2,,1.2,,1.5,,0.9,,0.5,,0,,0.9,0.6
2011,,1,,2,,2.8,,2.3,,1,,-0.1,,1.7,1.3
2012,,-0.1,,1,,1.3,,1.6,,1.2,,0.5,,0.6,1.1
2013,,0.2,,-0.1,,1,,0.8,,0.3,,0.2,,0.4,0.5
2014,,0.2,,1.1,,1.6,,1.1,,0.5,,-1,,0.8,0.4
2015,,-1.2,,-0.5,,1.1,,0.9,,0,,-1.4,,-0.4,0.2
2016,,-0.6,,0.7,,1.5,,0.9,,0.7,,0.2,,0.1,0.8
2017,,1.2,,0.6,,0.5,,0.2,,0.2,,0.4,,0.7,0.4
2018,,0.3,,1.2,,1.5,,1.4,,0.5,,-0.5,,0.7,0.7
2019,,0.1,,1.4,,2.6,,2.2,,0.6,,-0.2,,1,1.3
2020,,0.3,,-0.6,,0.3,,0.1,,1.4,,0.8,,-0.1,0.7
2021,,0.8,,2.1,,4,,3.8,,3.5,,2.5,,1.9,3.4
2022,,3.4,,4.7,,6.1,,4.5,,2.9,,0.2,,4.5,3.1
2023,,2.3,,1.8,,2.9,,1.6,,1.7,,1,,2,1.7
2024,,1.8,,2.4,,2.6,,1.6,,1,,0.7,,2.1,1.2
2025,,1.5,,1.9,,,,,,,,,,,
