Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1921,,,,,,,,,,,,0,,,
1922,,,-2,,,-0.7,,,-0.7,,,0.7,,,
1923,,,-1.4,,,1.4,,,1.4,,,1.4,,,
1924,,,-2.7,,,0,,,0.7,,,0.7,,,
1935,,,,,,,,,,0,,,,,
1936,0.8,,,-1.6,,,1.6,,,,,0,,,
1937,,,3.2,,,0,,,0.8,,,0.8,,,
1938,,,-1.5,,,0,,,0,,,0,,,
1939,,,-0.8,,,-1.6,,,2.4,,,-1.6,,,
1940,,,0,,,0,,,0.8,,,0.8,,,
1941,0,0.8,0.8,2.3,1.6,3.1,1.5,2.3,2.3,3.8,4.5,2.9,,,
1942,3.6,2.9,4.3,3.5,2.8,2.1,0.7,2,2,2.7,3.3,2.6,,,
1943,2.6,0.6,1.9,3.2,3.2,1.9,-2.5,-3.1,-2.5,1.3,2.5,1.9,,,
1944,0.6,-0.6,0,0.6,2.5,1.2,1.2,0,0.6,1.2,1.2,2.4,,,
1945,0.6,0,-0.6,0.6,0.6,0.6,0.6,0.6,0,-0.6,1.2,2.4,,,
1946,1.2,-1.2,-1.7,-0.6,1.2,3,7.7,10,9.8,6.6,7.5,6.3,,,
1947,3.6,-0.5,0,1.5,1.5,-1,,,4.5,,,1.9,,,
1948,,,1.4,,,1.4,,,1.8,,,0,,,
1949,,,-1.3,,,-0.5,,,-0.5,,,-0.9,,,
1950,,,0.5,,,-0.5,,,1.8,,,3.6,,,
1951,,,3.9,,,-0.4,,,0,,,2.5,,,
1952,,,0,,,2.1,,,-0.4,,,0.8,,,
1953,,,0,,,0.4,,,0.8,,,0,,,
1954,,,-0.4,,,0,,,-0.4,,,-0.4,,,
1955,,,0,,,0,,,0,,,0,,,
1956,,,0.8,,,1.2,,,0.8,,,2.3,,,
1957,,,0.4,,,0.4,,,0.8,,,1.1,,,
1958,,,1.5,,,1.1,,,0,,,0,,,
1959,,,0.7,,,0.4,,,1.1,,,0.7,,,
1960,,,-0.4,,,0.7,,,0.7,,,0.7,,,
1961,,,-0.3,,,0,,,0.7,,,0.3,,,
1962,,,0.7,,,0.3,,,0,,,0.3,,,
1963,,,0.3,,,0.7,,,0.3,,,0.7,,,
1964,,,0,,,0.3,,,0.3,,,0.7,,,
1965,,,0.7,,,0.7,,,-0.3,,,1,,,
1966,,,1,,,0.3,,,1,,,0.6,,,
1967,,,0,,,1.3,,,1.5,,,0.6,,,
1968,,,1.2,,,1.5,,,0.9,,,0.9,,,
1969,,,1.7,,,1.4,,,1.7,,,1.4,,,
1970,,,1.1,,,1.1,,,1.1,,,1.3,,,
1971,,,0.5,,,0.8,,,0.8,,,0.8,,,
1972,,,0.8,,,1.3,,,1.2,,,0.5,,,
1973,,,1.9,,,1.4,,,3.1,,,0.5,,,
1974,,,3,,,3.3,,,3,,,2.7,,,
1975,,,2.4,,,1.8,,,1.7,,,1.7,,,
1976,,,0.7,,,0.9,,,1.8,,,1.3,,,
1977,,,2.1,,,2.8,,,1.9,,,1.7,,,
1987,-0.5,,1.7,2,1.4,1.1,0.9,1,1.4,1.1,1,0.7,,,
1988,1.1,0.5,1.4,0.3,1.5,0.8,1.9,1.9,1.7,1.2,0.2,0.4,,,
1989,1.4,1.5,2.7,1.1,1.9,0.2,1.6,1.4,0.5,0.1,-0.7,0.5,,,
1990,0.8,1.6,2,1.7,1.2,1.2,1.2,1.8,1.8,1.7,1.2,0.8,,,
1991,1.6,1,0.9,-0.7,0.1,1,1.8,2.1,1.5,1,0.5,0.1,,,
1992,0.5,0.9,1.5,0.9,0.6,0,0.4,0.6,1.3,1.5,1.1,0.4,,,
1993,0.6,0.9,1,1.2,1,0.3,-0.5,-0.5,0.3,0.6,0.7,0.3,,,
1994,0.3,0.1,0.8,0.3,0.6,-0.1,0.6,0.7,0.9,0.3,0.3,0,,,
1995,0.6,0.5,1.1,0.8,0.5,0.4,0,0.1,0.4,0.7,0.6,-0.1,,,
1996,0.2,0.5,0.5,0.7,1.2,1.5,1.3,0.3,0.7,0.6,0.8,-0.2,,,
1997,0.1,0.6,2.1,1.7,1.2,0.5,0.6,0.9,1,1.2,0.9,0.6,,,
1998,,0.4,,,,,,,,,,,,,
