Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1915,,,,,,,,,,,,0.9,,,
1916,,,,,,,,,,,,11.1,7.5,,
1917,,,,,,,,,,,,25.8,21.1,,
1918,,,,,,,,,,,,16.6,18.1,,
1919,,,,,,,,,,,,6.8,9.2,,
1920,,,,,,20.8,,,,,,1.6,12.4,,
1921,,,,,,,,,,,,-10.5,-12,,
1922,,,,,,,,,-5.7,,,-2.3,-5.1,,
1923,,,0,,,1.8,,,4.2,,,1.8,1.2,,
1924,,,1.2,,,-1.2,,,-2.3,,,0,0,,
1925,,,,,,3,,,,,,3.5,2.4,,
1926,,,,,,1.2,,,,,,-1.1,1.2,,
1927,,,,,,-2.3,,,,,,-2.9,-2.9,,
1928,,,,,,-1.2,,,,,,-0.6,-0.6,,
1929,,,,,,0,,,,,,0,-0.6,,
1930,,,,,,-1.8,,,,,,-3.6,-1.8,,
1931,,,,,,-7.2,,,,,,-6.8,-6.1,,
1932,,,,,,-7.1,,,,,,-7.9,-7.7,,
1933,,,,,,-4.2,,,,,,2.2,-2.8,,
1934,,,,,,4.4,,,,,,,2.9,,
1935,,,,,,,,,,,,,2.1,,
1936,,,,,,,1.4,,,,,,0.7,,
1937,,,,,,,,,2.7,,,2,2,,
1938,,,-2,,,-2.6,,,-3.3,,,-2,-2,,
1939,,,-1.4,,,-1.4,,,0,,,-1.4,-0.7,,
1940,,,1.4,,,1.4,,,0,,,1.4,0.7,,
1941,,,0.7,,,3.4,,,6.8,,,10.2,4.1,,
1942,,,12.8,,,11.8,,,10.2,8.1,8.8,8,11.1,,
1943,8,6.7,7.2,8.4,8.3,7.6,6.4,5.8,5.2,5.8,4.6,4,6.5,,
1944,4,3.4,1.1,0.6,0,0.5,1.1,1.6,1.6,1.1,2.2,2.2,1.7,,
1945,1.6,2.2,2.8,2.7,3.3,3.3,3.3,2.7,3.2,2.7,2.7,3.2,2.7,,
1946,3.8,3.2,4.3,3.7,2.6,4.2,9.5,11.1,12,14.7,16.2,17.2,9,,
1947,16.6,16.7,18,18,18,16.7,,11.4,,,7.7,,12.6,,
1948,,7.6,,,7.9,,,6.4,,,3.3,,6,,
1949,,1.2,,,-0.4,,,-1.2,,,0.4,,0,,
1950,,0,,,-0.4,,,1.6,,,2.8,,1.2,,
1951,,8.2,,,8.2,,,6,,,6.7,,6.8,,
1952,,2.3,,,2.6,,,3.8,,,1.1,,2.6,,
1953,,1.1,,,0.7,,,0,,,0.4,,0.7,,
1954,,1.1,,,0,,,0,,,-0.7,,0,,
1955,,-1.1,,,0,,,-0.4,,,0,,-0.4,,
1956,,0.4,,,0.7,,,1.5,,,2.2,,1.1,,
1957,,3.6,,,2.5,,,3.2,,,3.2,,3.2,,
1958,,2.5,,,3.5,,,1.7,,,1.4,,2.4,,
1959,,0.7,,,0.3,,,0.7,,,0.3,,0.3,,
1960,,0.3,,,1,,,0.7,,,1.7,,1,,
1961,,2.4,,,1,,,1.7,,,1.3,,1.3,,
1962,,0.3,,,1,,,1,,,1,,1,,
1963,,1.7,,,2,,,2,,,1.6,,1.6,,
1964,,1.6,,,1.3,,,1.6,,,1.9,,1.6,,
1965,,1.3,,,1.6,,,0.9,,,1.3,,1.6,,
1966,,3.2,,,3.1,,,4.1,,,3.7,,3.4,,
1967,,2.8,,,2.4,,,2.7,,,2.7,,2.7,,
1968,,3.3,,,4.8,,,5,,,6.1,,4.7,,
1969,,6.1,,,6.5,,,6.1,,,5.8,,6.2,,
1970,,6.5,,,5.9,,,5.5,,,5.2,,5.6,,
1971,,4.9,,,4.3,,,4.2,,,4.2,,4.5,,
1972,,2.9,,,2.7,,,3.6,,,4.3,,3.4,,
1973,,5,,,6.4,,,6.7,,,7.5,,6.3,,
1974,,10.2,,,10.6,,,11.9,,,12.1,,11.2,,
1975,,9.6,,,8.4,,,7,,,5.9,,7.7,,
1976,,5.8,,,6.3,,,6,,,5.4,,6,,
1977,,6.5,,,6.8,,,6.8,,,7.6,,6.9,,
1978,,,,,7,,,,,,8.8,,7.6,,
1979,10,,11.3,,11.2,,11.5,,11,,10.4,,10.9,,
1980,11,,12.4,,11.6,,12,,11.8,,12.6,,12,,
1981,11,,9.8,,9.8,,8.1,,9.1,,8.6,,9.2,,
1982,8.2,,6.3,,5.1,,5.3,,5.3,,4,,5.5,,
1983,4,,3.8,,5.2,,5.6,,3.8,,4.3,,4.5,,
1984,5,,5.4,,4.3,,3.8,,5.3,,5.4,,4.8,,
1985,3.6,,4.6,,4.6,,4.9,,3.4,,3.7,,4.2,4.4,4.1
1986,5.3,,3.1,,3,,1.8,,2.7,,2.2,,2.9,3.5,2.2
1987,1.3,,2.7,,3.3,,4.2,,4.6,,4.8,,3.6,2.7,4.5
1988,4,,4.1,,4.2,,3.9,,4.2,,4,,4.1,4.1,4.1
1989,5.1,,5.8,,5.8,,5.9,,5.9,,5.9,,5.8,5.6,6
1990,6.2,,6.1,,5.4,,6.2,,6.1,,6.1,,5.9,5.9,6
