Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1964,,,,,,,,,,,,0.9,,,
1965,,,0.9,,,1.8,,,2.1,,,2.6,2.1,,
1966,,,2.6,,,2.9,,,3.5,,,2.9,2.6,,
1967,,,2.3,,,2.8,,,2.5,,,3.1,2.8,,
1968,,,3.9,,,3.9,,,4.1,,,3.8,3.9,,
1969,,,4.3,,,4.5,,,4.7,,,4.9,4.5,,
1970,,,5.7,,,5.9,,,4.8,,,4.2,5.3,,
1971,,,3.2,,,3.4,,,5.5,,,4.8,4.1,,
1972,,,5,,,3.3,,,1.6,,,2.7,3.2,,
1973,,,2.9,,,4.3,,,5.4,,,6.6,4.5,,
1974,,,9.2,,,10.8,,,12.3,,,11.8,10.5,,
1975,,,10.4,,,9.2,,,8.1,,,7.6,9.3,,
1976,,,6,,,5.4,,,4.2,,,3.6,5,,
1977,,,4.4,,,4.9,,,5.7,,,5.7,5.1,,
1978,,,,,,7.9,,,,,,9.4,7.7,,
1979,,10.2,,10.6,,11.1,,11.7,,11.5,,12.2,11.1,,
1980,,12.5,,13.3,,11.3,,11,,11.4,,10,11.7,,
1981,,10.2,,9.9,,11.1,,11.5,,10.6,,9.3,10.5,,
1982,,7.7,,5.3,,6.4,,5,,6.2,,4.5,6,,
1983,,3.2,,3.7,,0.9,,1.4,,0.4,,3.2,2.2,,
1984,,3.9,,3.8,,4.9,,4.6,,4,,4.2,4.2,,
1985,,4.2,,3.3,,3.1,,2.9,,2.9,,2.9,3.2,3.7,2.9
1986,,2.9,,2.2,,2,,2.4,,2.2,,2.3,2.4,2.4,2.3
1987,,,,,,,,,,,,,5,4,6
1988,,,,,,,,,,,,,5.9,6,5.9
1989,,,,,,,,,,,,,5.8,5.2,6.2
1990,,,,,,,,,,,,,7.3,7.2,7.4
1991,,,,,,,,,,,,,7.2,8.3,5.9
1992,,,,,,,,,,,,,4.8,4.8,4.9
1993,,,,,,,,,,,,,3.2,3.1,3.3
1994,,,,,,,,,,,,,2.7,3,2.5
1995,,,,,,,,,,,,,2.2,2.1,2.2
1996,,,,,,,,,,,,,1.5,2.2,0.9
1997,,,,,,,,,,,,,0.7,0.9,0.5
1998,,,,,,,,,,,,,-0.2,-0.1,-0.5
1999,,,,,,,,,,,,,1,0.4,1.6
2000,,,,,,,,,,,,,1.7,1.9,1.7
2001,,,,,,,,,,,,,1.2,1.3,1.1
2002,,,,,,,,,,,,,1.1,1.1,1
2003,,,,,,,,,,,,,2.3,1.7,2.9
2004,,,,,,,,,,,,,3.3,3.3,3.3
2005,,,,,,,,,,,,,3.8,3.1,4.5
2006,,,,,,,,,,,,,5.9,5.8,5.8
2007,,,,,,,,,,,,,4.8,5,4.8
2008,,,,,,,,,,,,,4.3,4.9,3.6
2009,,,,,,,,,,,,,0.5,0.3,0.7
2010,,,,,,,,,,,,,2.1,2.5,1.7
2011,,,,,,,,,,,,,3.7,3.5,4
2012,,,,,,,,,,,,,2.4,2.8,2
2013,,,,,,,,,,,,,1.8,1.8,1.7
2014,,,,,,,,,,,,,1.4,1.1,1.8
2015,,,,,,,,,,,,,1,0.7,1.3
2016,,,,,,,,,,,,,2,2.4,1.5
2017,,,,,,,,,,,,,2.5,2.5,2.5
2018,,,,,,,,,,,2,,1.9,1.6,2.1
2019,1.9,,1.8,,2.1,,1.6,,1.1,,0.9,,1.6,2,1.3
2020,1.7,,1.8,,1.3,,1.3,,1.9,,1.6,,1.6,1.6,1.6
2021,1.4,,1.8,,3.8,,4.6,,5,,5.4,,3.8,2.6,5
2022,6,,7.5,,7,,6.8,,6.6,,5.8,,6.5,6.7,6.3
2023,5.2,,3.3,,2,,2.1,,2.2,,3.6,,3.1,3.4,2.9
2024,3.9,,4.8,,5.2,,4.5,,4.2,,3.5,,4.4,4.7,4
2025,4.1,,2.6,,2.7,,,,,,,,,,
