Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2006,5.2,,4.3,,5.7,,5.4,,2.8,,3.7,,,,
2007,3.4,,4.3,,3.1,,3.2,,3.4,,6.3,,,,
2008,5.9,,7,,7.9,,6.4,,7.3,,2.8,,,,
2009,2,,1.3,,0.2,,0,,-0.8,,2.2,,,,
2010,2.6,,1.3,,1.2,,0.3,,0.6,,1,,,,
2011,2.1,,3.3,,4.1,,3.5,,3.3,,3.1,,,,
2012,2.6,,2.1,,0.7,,1.2,,3.5,,2,,,,
2013,1.6,,1.6,,0.9,,2,,0.9,,1.7,,,,
2014,2.4,,1.3,,2.6,,1.7,,1.8,,1.3,,,,
2015,-0.2,,0.5,,0.1,,0,,-0.1,,0.7,,,,
2016,1.1,,0.6,,1.2,,1.5,,2,,1.7,,1.4,1,1.8
2017,2.2,,2.1,,2.1,,1.6,,1.8,,1.6,,1.9,2.2,1.5
2018,,,,,,,,,,,,1.3,1.9,1.8,2
2019,,0.8,,2.6,,1,,1.1,,1,,1.8,1.4,1.6,1.1
2020,,1.8,,0.1,,0.4,,0.7,,1.3,,1.4,1,0.9,1.1
2021,,1.1,,2.9,,4.5,,4.5,,6.3,,8,4.1,2.4,5.9
2022,,9.3,,9.1,,10.6,,10.2,,8.4,,6.3,9.1,9.5,8.8
2023,,6.1,,5.3,,2.8,,3.1,,2.2,,2.1,3.8,5,2.6
2024,,2.6,,2.9,,3,,3,,3.4,,3.4,2.9,2.6,3.2
2025,,3.2,,3,,,,,,,,,,,
