Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1986,4.6,3.6,2.9,1.8,1.5,2.4,2.4,2.3,2.9,2.3,1.6,1.7,2.5,2.8,2.3
1987,2.3,2.8,3.2,5,5.4,5.4,5,5.9,5.2,6,5.7,5.6,4.8,4,5.5
1988,5.2,4.7,4.9,3.9,3.9,3.8,4.9,4.6,5.5,4.6,5.6,5.6,4.8,4.4,5.1
1989,5.4,5.1,5.4,5.6,5.8,5.7,5,4.2,4,4.7,3.8,3.4,4.8,5.5,4.3
1990,4.4,5.4,6,6,5.2,4.9,5.4,6.4,6.1,6.4,6.9,7.3,5.8,5.3,6.4
1991,7,6.4,5.5,4.8,5,5,4.5,4.4,4.1,3.1,3,3.6,4.7,5.6,3.8
1992,2.8,2.6,3.1,3.3,3.1,4,3.4,3.3,3,3.4,2.9,2.1,3.1,3.1,3
1993,2.1,3,2.7,2.9,2.5,2,2.3,1.8,2,2.8,3.1,2.6,2.5,2.5,2.4
1994,3.4,3,2.8,2.3,2.5,2.7,3.1,3.4,3.4,2.9,3,2.7,2.9,2.8,3.1
1995,2.7,3.2,2.9,3.1,3,2.5,2.3,2.5,2.6,2.4,1.9,2.4,2.7,2.9,2.4
1996,2.4,2.2,2.5,2.7,2.5,2.5,2.5,2.5,2.6,2.8,2.9,3.3,2.6,2.5,2.8
1997,3,2.9,2.5,2.4,2.6,2.3,2.2,2,2.5,1.7,1.3,1.3,2.3,2.7,1.8
1998,,0.7,,0.7,,1.1,,1.1,,1.6,,1.6,1,0.8,1.3
1999,,1,,2.4,,2.4,,2.7,,2.4,,2.3,2.2,1.9,2.5
2000,,3.7,,2.7,,2.6,,2.5,,2,,2.7,2.7,3,2.4
2001,,2.4,,3.1,,3.3,,3,,2.8,,1.4,2.7,2.9,2.5
2002,,1.7,,1,,2.1,,3,,1.6,,3,2,1.6,2.4
2003,,2.5,,2.2,,1.8,,1.5,,2.4,,2,2.1,2.3,2
2004,,2.6,,4.1,,4.4,,4.2,,5.2,,4.7,4.1,3.5,4.6
2005,,4.5,,4.4,,3.4,,3.8,,3.6,,3.6,3.9,4.2,3.7
2006,,4.4,,4.1,,4.4,,4.7,,2,,3.3,3.9,4.3,3.4
2007,,2,,1.7,,1.6,,1.1,,3.5,,3.5,2.2,1.9,2.5
2008,,3.7,,3.9,,5.1,,4.4,,2.8,,-0.4,3.4,4.1,2.7
2009,,-0.3,,-0.9,,-2,,-1,,-0.1,,3,-0.4,-0.9,0.2
2010,,2.8,,2.6,,1.9,,1.1,,1.7,,1.4,2,2.5,1.4
2011,,1.9,,2.5,,2.8,,3.4,,3,,2.8,2.7,2.3,3.1
2012,,2.2,,2,,1.3,,1.4,,2.2,,1.8,1.8,1.9,1.7
2013,,1.8,,1.1,,1.5,,1.1,,0.3,,1.2,1.2,1.5,0.9
2014,,1,,1.4,,1.8,,1.3,,1.6,,0.6,1.3,1.3,1.3
2015,,-0.1,,0,,0.2,,-0.3,,-0.5,,-0.2,-0.1,0,-0.2
2016,,0.3,,0.6,,0.1,,0.4,,1.3,,1.7,0.6,0.3,0.9
2017,,2.1,,1.3,,0.7,,1.4,,0.8,,0.8,1.3,1.5,1.1
2018,,0.5,,1.4,,1.9,,1.7,,1.6,,1,1.3,1.1,1.4
2019,,1.5,,1.9,,2.1,,2.3,,1.9,,2.4,2,1.7,2.3
2020,,2.6,,-0.1,,0.1,,0.4,,0.8,,1.1,0.9,1.2,0.6
2021,,1,,3.5,,4.9,,4.6,,5.6,,6.6,4,2.6,5.4
2022,,7.3,,8.4,,8.8,,8.1,,7.8,,6.4,7.9,8,7.7
2023,,6.9,,4.7,,3.1,,3.9,,3.5,,3.9,4.4,5.1,3.7
2024,,3.4,,4.1,,3.6,,3.4,,3.4,,3.3,3.6,3.8,3.3
2025,,3.1,,2.9,,,,,,,,,,,
