Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2011,,,,,,,,,,,,,3.2,3.3,3.1
2012,,,,,,,,,,,,,2.4,2.6,2.2
2013,,,,,,,,,,,,,1.5,1.6,1.3
2014,,,,,,,,,,,,,1,1.4,0.7
2015,,,,,,,,,,,,,-0.4,-0.9,0
2016,,,,,,,,,,,,,0.8,0.6,1
2017,,,,,,,,,,,,,1.7,1.8,1.6
2018,,,,,,,,,,,,0.6,1.8,2,1.6
2019,,0.7,,1,,1,,1.1,,0.5,,2.1,1,0.8,1.2
2020,,2.1,,-0.6,,0.2,,0.8,,1.1,,1.2,0.7,0.7,0.8
2021,,1.6,,5.4,,6.1,,6.6,,7.5,,8.3,5.5,3.7,7.3
2022,,8.2,,8.4,,8.4,,7.5,,7,,6.2,7.8,8.5,7
2023,,5.9,,4.2,,3.1,,3.1,,3.1,,2.8,3.8,4.6,3.1
2024,,3.6,,4,,3.4,,3.3,,2.6,,3.1,3.3,3.6,3.1
2025,,2,,2.2,,,,,,,,,,,
